Date,Close,changePrevClose,changePrevClosePct,type,yldPct
6/24/16,,,,NAV,
6/27/16,,,,NAV,
6/28/16,,,,NAV,
6/29/16,,,,NAV,
6/30/16,,,,NAV,
7/1/16,,,,NAV,
7/5/16,,,,NAV,
7/6/16,,,,NAV,
7/7/16,,,,NAV,
7/8/16,,,,NAV,
7/11/16,,,,NAV,
7/12/16,,,,NAV,
7/13/16,,,,NAV,
7/14/16,,,,NAV,
7/15/16,,,,NAV,
7/18/16,,,,NAV,
7/19/16,,,,NAV,
7/20/16,,,,NAV,
7/21/16,,,,NAV,
7/22/16,,,,NAV,
7/25/16,,,,NAV,
7/26/16,,,,NAV,
7/27/16,,,,NAV,
7/28/16,,,,NAV,
7/29/16,,,,NAV,
8/1/16,,,,NAV,
8/2/16,,,,NAV,
8/3/16,,,,NAV,
8/4/16,,,,NAV,
8/5/16,,,,NAV,
8/8/16,,,,NAV,
8/9/16,,,,NAV,
8/10/16,,,,NAV,
8/11/16,,,,NAV,
8/12/16,,,,NAV,
8/15/16,,,,NAV,
8/16/16,,,,NAV,
8/17/16,,,,NAV,
8/18/16,,,,NAV,
8/19/16,,,,NAV,
8/22/16,,,,NAV,
8/23/16,,,,NAV,
8/24/16,,,,NAV,
8/25/16,,,,NAV,
8/26/16,,,,NAV,
8/29/16,,,,NAV,
8/30/16,,,,NAV,
8/31/16,,,,NAV,
9/1/16,,,,NAV,
9/2/16,,,,NAV,
9/6/16,,,,NAV,
9/7/16,,,,NAV,
9/8/16,,,,NAV,
9/9/16,,,,NAV,
9/12/16,,,,NAV,
9/13/16,,,,NAV,
9/14/16,,,,NAV,
9/15/16,,,,NAV,
9/16/16,,,,NAV,
9/19/16,,,,NAV,
9/20/16,,,,NAV,
9/21/16,,,,NAV,
9/22/16,,,,NAV,
9/23/16,,,,NAV,
9/26/16,,,,NAV,
9/27/16,,,,NAV,
9/28/16,,,,NAV,
9/29/16,,,,NAV,
9/30/16,,,,NAV,
10/3/16,,,,NAV,
10/4/16,,,,NAV,
10/5/16,,,,NAV,
10/6/16,,,,NAV,
10/7/16,,,,NAV,
10/10/16,,,,NAV,
10/11/16,,,,NAV,
10/12/16,,,,NAV,
10/13/16,,,,NAV,
10/14/16,,,,NAV,
10/17/16,,,,NAV,
10/18/16,,,,NAV,
10/19/16,,,,NAV,
10/20/16,,,,NAV,
10/21/16,,,,NAV,
10/24/16,,,,NAV,
10/25/16,,,,NAV,
10/26/16,,,,NAV,
10/27/16,,,,NAV,
10/28/16,,,,NAV,
10/31/16,,,,NAV,
11/1/16,,,,NAV,
11/2/16,,,,NAV,
11/3/16,,,,NAV,
11/4/16,,,,NAV,
11/7/16,,,,NAV,
11/8/16,,,,NAV,
11/9/16,,,,NAV,
11/10/16,,,,NAV,
11/11/16,,,,NAV,
11/14/16,,,,NAV,
11/15/16,,,,NAV,
11/16/16,,,,NAV,
11/17/16,,,,NAV,
11/18/16,,,,NAV,
11/21/16,,,,NAV,
11/22/16,,,,NAV,
11/23/16,,,,NAV,
11/25/16,,,,NAV,
11/28/16,,,,NAV,
11/29/16,,,,NAV,
11/30/16,,,,NAV,
12/1/16,,,,NAV,
12/2/16,,,,NAV,
12/5/16,,,,NAV,
12/6/16,,,,NAV,
12/7/16,,,,NAV,
12/8/16,,,,NAV,
12/9/16,,,,NAV,
12/12/16,,,,NAV,
12/13/16,,,,NAV,
12/14/16,,,,NAV,
12/15/16,,,,NAV,
12/16/16,,,,NAV,
12/19/16,,,,NAV,
12/20/16,,,,NAV,
12/21/16,,,,NAV,
12/22/16,,,,NAV,
12/23/16,,,,NAV,
12/27/16,,,,NAV,
12/28/16,,,,NAV,
12/29/16,,,,NAV,
12/30/16,,,,NAV,
1/3/17,,,,NAV,
1/4/17,,,,NAV,
1/5/17,,,,NAV,
1/6/17,,,,NAV,
1/9/17,,,,NAV,
1/10/17,,,,NAV,
1/11/17,,,,NAV,
1/12/17,,,,NAV,
1/13/17,,,,NAV,
1/17/17,,,,NAV,
1/18/17,,,,NAV,
1/19/17,,,,NAV,
1/20/17,,,,NAV,
1/23/17,,,,NAV,
1/24/17,,,,NAV,
1/25/17,,,,NAV,
1/26/17,,,,NAV,
1/27/17,,,,NAV,
1/30/17,,,,NAV,
1/31/17,,,,NAV,
2/1/17,,,,NAV,
2/2/17,,,,NAV,
2/3/17,,,,NAV,
2/6/17,,,,NAV,
2/7/17,,,,NAV,
2/8/17,,,,NAV,
2/9/17,,,,NAV,
2/10/17,,,,NAV,
2/13/17,,,,NAV,
2/14/17,,,,NAV,
2/15/17,,,,NAV,
2/16/17,,,,NAV,
2/17/17,,,,NAV,
2/21/17,,,,NAV,
2/22/17,,,,NAV,
2/23/17,,,,NAV,
2/24/17,,,,NAV,
2/27/17,,,,NAV,
2/28/17,,,,NAV,
3/1/17,,,,NAV,
3/2/17,,,,NAV,
3/3/17,,,,NAV,
3/6/17,,,,NAV,
3/7/17,,,,NAV,
3/8/17,,,,NAV,
3/9/17,,,,NAV,
3/10/17,,,,NAV,
3/13/17,,,,NAV,
3/14/17,,,,NAV,
3/15/17,,,,NAV,
3/16/17,,,,NAV,
3/17/17,,,,NAV,
3/20/17,,,,NAV,
3/21/17,,,,NAV,
3/22/17,,,,NAV,
3/23/17,,,,NAV,
3/24/17,,,,NAV,
3/27/17,,,,NAV,
3/28/17,,,,NAV,
3/29/17,,,,NAV,
3/30/17,,,,NAV,
3/31/17,,,,NAV,
4/3/17,,,,NAV,
4/4/17,,,,NAV,
4/5/17,,,,NAV,
4/6/17,,,,NAV,
4/7/17,,,,NAV,
4/10/17,,,,NAV,
4/11/17,,,,NAV,
4/12/17,,,,NAV,
4/13/17,,,,NAV,
4/17/17,,,,NAV,
4/18/17,,,,NAV,
4/19/17,,,,NAV,
4/20/17,,,,NAV,
4/21/17,,,,NAV,
4/24/17,,,,NAV,
4/25/17,,,,NAV,
4/26/17,,,,NAV,
4/27/17,,,,NAV,
4/28/17,,,,NAV,
5/1/17,,,,NAV,
5/2/17,,,,NAV,
5/3/17,,,,NAV,
5/4/17,,,,NAV,
5/5/17,,,,NAV,
5/8/17,,,,NAV,
5/9/17,,,,NAV,
5/10/17,,,,NAV,
5/11/17,,,,NAV,
5/12/17,,,,NAV,
5/15/17,,,,NAV,
5/16/17,,,,NAV,
5/17/17,,,,NAV,
5/18/17,,,,NAV,
5/19/17,,,,NAV,
5/22/17,,,,NAV,
5/23/17,,,,NAV,
5/24/17,,,,NAV,
5/25/17,,,,NAV,
5/26/17,,,,NAV,
5/30/17,,,,NAV,
5/31/17,16.93,,,NAV,
6/1/17,,,,NAV,
6/2/17,,,,NAV,
6/5/17,,,,NAV,
6/6/17,,,,NAV,
6/7/17,,,,NAV,
6/8/17,,,,NAV,
6/9/17,,,,NAV,
6/12/17,,,,NAV,
6/13/17,,,,NAV,
6/14/17,,,,NAV,
6/15/17,,,,NAV,
6/16/17,,,,NAV,
6/19/17,,,,NAV,
6/20/17,,,,NAV,
6/21/17,,,,NAV,
6/22/17,,,,NAV,
6/23/17,,,,NAV,
6/26/17,,,,NAV,
6/27/17,,,,NAV,
6/28/17,,,,NAV,
6/29/17,,,,NAV,
6/30/17,17.02,,,NAV,
7/3/17,,,,NAV,
7/5/17,,,,NAV,
7/6/17,,,,NAV,
7/7/17,,,,NAV,
7/10/17,,,,NAV,
7/11/17,,,,NAV,
7/12/17,,,,NAV,
7/13/17,,,,NAV,
7/14/17,,,,NAV,
7/17/17,,,,NAV,
7/18/17,,,,NAV,
7/19/17,,,,NAV,
7/20/17,,,,NAV,
7/21/17,,,,NAV,
7/24/17,,,,NAV,
7/25/17,,,,NAV,
7/26/17,,,,NAV,
7/27/17,,,,NAV,
7/28/17,,,,NAV,
7/31/17,17.41,,,NAV,
8/1/17,,,,NAV,
8/2/17,,,,NAV,
8/3/17,,,,NAV,
8/4/17,,,,NAV,
8/7/17,,,,NAV,
8/8/17,,,,NAV,
8/9/17,,,,NAV,
8/10/17,,,,NAV,
8/11/17,,,,NAV,
8/14/17,,,,NAV,
8/15/17,,,,NAV,
8/16/17,,,,NAV,
8/17/17,,,,NAV,
8/18/17,,,,NAV,
8/21/17,,,,NAV,
8/22/17,,,,NAV,
8/23/17,,,,NAV,
8/24/17,,,,NAV,
8/25/17,,,,NAV,
8/28/17,,,,NAV,
8/29/17,,,,NAV,
8/30/17,,,,NAV,
8/31/17,17.48,,,NAV,
9/1/17,,,,NAV,
9/5/17,,,,NAV,
9/6/17,,,,NAV,
9/7/17,,,,NAV,
9/8/17,,,,NAV,
9/11/17,,,,NAV,
9/12/17,,,,NAV,
9/13/17,,,,NAV,
9/14/17,,,,NAV,
9/15/17,,,,NAV,
9/18/17,,,,NAV,
9/19/17,,,,NAV,
9/20/17,,,,NAV,
9/21/17,,,,NAV,
9/22/17,,,,NAV,
9/25/17,,,,NAV,
9/26/17,,,,NAV,
9/27/17,,,,NAV,
9/28/17,,,,NAV,
9/29/17,17.74,,,NAV,
10/2/17,,,,NAV,
10/3/17,,,,NAV,
10/4/17,,,,NAV,
10/5/17,,,,NAV,
10/6/17,,,,NAV,
10/9/17,,,,NAV,
10/10/17,,,,NAV,
10/11/17,,,,NAV,
10/12/17,,,,NAV,
10/13/17,,,,NAV,
10/16/17,,,,NAV,
10/17/17,,,,NAV,
10/18/17,,,,NAV,
10/19/17,,,,NAV,
10/20/17,,,,NAV,
10/23/17,,,,NAV,
10/24/17,,,,NAV,
10/25/17,,,,NAV,
10/26/17,,,,NAV,
10/27/17,,,,NAV,
10/30/17,,,,NAV,
10/31/17,18.03,,,NAV,
11/1/17,,,,NAV,
11/2/17,,,,NAV,
11/3/17,,,,NAV,
11/6/17,,,,NAV,
11/7/17,,,,NAV,
11/8/17,,,,NAV,
11/9/17,,,,NAV,
11/10/17,,,,NAV,
11/13/17,,,,NAV,
11/14/17,,,,NAV,
11/15/17,,,,NAV,
11/16/17,,,,NAV,
11/17/17,,,,NAV,
11/20/17,,,,NAV,
11/21/17,,,,NAV,
11/22/17,,,,NAV,
11/24/17,,,,NAV,
11/27/17,,,,NAV,
11/28/17,,,,NAV,
11/29/17,,,,NAV,
11/30/17,18.38,,,NAV,
12/1/17,,,,NAV,
12/4/17,,,,NAV,
12/5/17,,,,NAV,
12/6/17,,,,NAV,
12/7/17,,,,NAV,
12/8/17,,,,NAV,
12/11/17,,,,NAV,
12/12/17,,,,NAV,
12/13/17,,,,NAV,
12/14/17,,,,NAV,
12/15/17,,,,NAV,
12/18/17,,,,NAV,
12/19/17,,,,NAV,
12/20/17,,,,NAV,
12/21/17,,,,NAV,
12/22/17,,,,NAV,
12/26/17,,,,NAV,
12/27/17,,,,NAV,
12/28/17,,,,NAV,
12/29/17,18.65,,,NAV,
1/2/18,,,,NAV,
1/3/18,,,,NAV,
1/4/18,,,,NAV,
1/5/18,,,,NAV,
1/8/18,,,,NAV,
1/9/18,,,,NAV,
1/10/18,,,,NAV,
1/11/18,,,,NAV,
1/12/18,,,,NAV,
1/16/18,,,,NAV,
1/17/18,,,,NAV,
