Symbol,Date,Close,High,Low,Open,Volume
GLD,2005-01-03,43.02,43.17,42.74,42.98,4750500
GLD,2005-01-04,42.74,42.91,42.46,42.8,3456800
GLD,2005-01-05,42.67,42.88,42.6,42.75,2108700
GLD,2005-01-06,42.15,42.56,42.07,42.48,2556400
GLD,2005-01-07,41.84,42.39,41.7,42.09,4492700
GLD,2005-01-10,41.95,42.07,41.89,41.99,1026100
GLD,2005-01-11,42.21,42.28,42.12,42.21,1507300
GLD,2005-01-12,42.6,42.79,42.48,42.52,1738000
GLD,2005-01-13,42.6,42.6,42.34,42.39,718300
GLD,2005-01-14,42.32,42.32,42.13,42.19,1262300
GLD,2005-01-17,42.32,42.32,42.13,42.19,0
GLD,2005-01-18,42.32,42.38,42.15,42.22,666800
GLD,2005-01-19,42.26,42.65,42.2,42.65,1578900
GLD,2005-01-20,42.25,42.32,42.11,42.12,1276200
GLD,2005-01-21,42.74,42.82,42.29,42.32,889800
GLD,2005-01-24,42.77,42.82,42.67,42.74,2294900
GLD,2005-01-25,42.24,42.56,42.1,42.53,1332500
GLD,2005-01-26,42.69,42.78,42.56,42.59,541800
GLD,2005-01-27,42.62,42.65,42.4,42.48,571200
GLD,2005-01-28,42.69,42.73,42.43,42.71,1149100
GLD,2005-01-31,42.22,42.3,41.96,42.21,1692400
GLD,2005-02-01,42.1,42.14,41.95,42.09,1088900
GLD,2005-02-02,42.16,42.23,42.02,42.22,956500
GLD,2005-02-03,41.68,41.74,41.5,41.56,2446400
GLD,2005-02-04,41.47,41.65,41.39,41.59,1819400
GLD,2005-02-07,41.27,41.55,41.21,41.55,1754000
GLD,2005-02-08,41.26,41.4,41.05,41.19,1296800
GLD,2005-02-09,41.31,41.36,41.02,41.03,3477900
GLD,2005-02-10,41.75,41.84,41.45,41.53,7774500
GLD,2005-02-11,42.08,42.16,41.83,41.89,1896500
GLD,2005-02-14,42.55,42.63,42.32,42.37,2351800
GLD,2005-02-15,42.58,42.6,42.34,42.4,1559900
GLD,2005-02-16,42.52,42.6,42.2,42.32,1820300
GLD,2005-02-17,42.73,42.81,42.51,42.52,3054200
GLD,2005-02-18,42.75,42.82,42.64,42.71,863200
GLD,2005-02-21,42.75,42.82,42.64,42.71,0
GLD,2005-02-22,43.57,43.63,43.2,43.39,3378500
GLD,2005-02-23,43.42,43.55,43.15,43.29,1534900
GLD,2005-02-24,43.33,43.48,43.2,43.48,1219300
GLD,2005-02-25,43.5,43.55,43.22,43.41,1100100
GLD,2005-02-28,43.52,43.74,43.52,43.68,759100
GLD,2005-03-01,43.22,43.37,43.1,43.3,3245500
GLD,2005-03-02,43.25,43.35,43.08,43.16,1188000
GLD,2005-03-03,42.97,43.13,42.9,43.06,1924600
GLD,2005-03-04,43.38,43.52,43.31,43.31,915000
GLD,2005-03-07,43.47,43.51,43.26,43.32,1290100
GLD,2005-03-08,44.03,44.08,43.59,43.71,2674900
GLD,2005-03-09,44.02,44.2,43.92,43.95,3025000
GLD,2005-03-10,44.2,44.25,44.0,44.16,2065000
GLD,2005-03-11,44.43,44.67,44.28,44.31,2659600
GLD,2005-03-14,44.03,44.26,43.95,44.26,867100
GLD,2005-03-15,44.06,44.23,43.93,44.23,1254900
GLD,2005-03-16,44.31,44.35,44.2,44.29,2223300
GLD,2005-03-17,43.82,43.97,43.674,43.97,1525200
GLD,2005-03-18,43.892,43.95,43.6,43.61,1207500
GLD,2005-03-21,43.09,43.25,42.87,43.24,3814400
GLD,2005-03-22,42.65,43.22,42.55,43.21,2609400
GLD,2005-03-23,42.42,42.67,42.35,42.6,2618600
GLD,2005-03-24,42.39,42.54,42.37,42.51,1466400
GLD,2005-03-25,42.39,42.54,42.37,42.51,0
GLD,2005-03-28,42.54,42.58,42.41,42.45,581100
GLD,2005-03-29,42.56,42.63,42.54,42.61,1197800
GLD,2005-03-30,42.61,42.81,42.56,42.65,1324300
GLD,2005-03-31,42.82,42.87,42.7,42.87,1363200
GLD,2005-04-01,42.62,42.62,42.45,42.6,2448500
GLD,2005-04-04,42.4,42.43,42.23,42.43,1893100
GLD,2005-04-05,42.45,42.54,42.38,42.49,888000
GLD,2005-04-06,42.63,42.72,42.49,42.49,1637500
GLD,2005-04-07,42.57,42.81,42.53,42.77,2853000
GLD,2005-04-08,42.69,42.71,42.459,42.48,1002300
GLD,2005-04-11,42.78,42.96,42.74,42.84,514100
GLD,2005-04-12,42.84,42.84,42.61,42.7,2098700
GLD,2005-04-13,42.9,42.95,42.68,42.76,384000
GLD,2005-04-14,42.31,42.48,42.16,42.45,3680300
GLD,2005-04-15,42.4,42.56,42.36,42.38,1811100
GLD,2005-04-18,42.69,42.78,42.52,42.55,909800
GLD,2005-04-19,43.28,43.36,42.72,42.79,3145400
GLD,2005-04-20,43.4,43.52,43.19,43.21,1248200
GLD,2005-04-21,43.19,43.43,43.14,43.42,1550600
GLD,2005-04-22,43.39,43.5,43.306,43.46,1169000
GLD,2005-04-25,43.44,43.45,43.22,43.35,906300
GLD,2005-04-26,43.64,43.7,43.5,43.69,1531400
GLD,2005-04-27,43.2,43.54,43.12,43.53,2762800
GLD,2005-04-28,43.0,43.27,42.99,43.16,2260300
GLD,2005-04-29,43.35,43.61,43.18,43.18,3736700
GLD,2005-05-02,42.88,43.17,42.81,43.13,1708600
GLD,2005-05-03,42.76,42.8,42.58,42.75,1268700
GLD,2005-05-04,42.9,42.92,42.73,42.87,607600
GLD,2005-05-05,42.91,42.96,42.71,42.96,319300
GLD,2005-05-06,42.52,42.63,42.34,42.43,3722700
GLD,2005-05-09,42.55,42.61,42.48,42.54,600000
GLD,2005-05-10,42.64,42.79,42.58,42.71,461000
GLD,2005-05-11,42.69,42.83,42.51,42.55,764600
GLD,2005-05-12,42.16,42.48,41.97,42.42,1880200
GLD,2005-05-13,41.95,42.12,41.83,42.12,802600
GLD,2005-05-16,41.88,41.9,41.77,41.77,874500
GLD,2005-05-17,41.86,42.05,41.83,41.95,880800
GLD,2005-05-18,42.05,42.11,41.83,41.99,2207100
GLD,2005-05-19,41.98,42.05,41.87,42.0,610200
GLD,2005-05-20,41.65,41.83,41.61,41.76,932800
GLD,2005-05-23,41.62,41.75,41.55,41.69,5001900
GLD,2005-05-24,41.73,41.83,41.65,41.83,1684600
GLD,2005-05-25,41.87,41.9,41.69,41.78,1535100
GLD,2005-05-26,41.69,41.81,41.65,41.73,341500
GLD,2005-05-27,41.88,41.96,41.74,41.81,2453600
GLD,2005-05-30,41.88,41.96,41.74,41.81,0
GLD,2005-05-31,41.65,41.69,41.33,41.45,3198900
GLD,2005-06-01,41.53,41.65,41.4,41.41,1792900
GLD,2005-06-02,42.1,42.28,41.91,41.94,5752600
GLD,2005-06-03,42.17,42.39,42.17,42.33,3350700
GLD,2005-06-06,42.48,42.65,42.45,42.56,2470800
GLD,2005-06-07,42.38,42.48,42.31,42.48,611000
GLD,2005-06-08,42.34,42.56,42.24,42.45,691500
GLD,2005-06-09,42.27,42.4,42.03,42.24,694700
GLD,2005-06-10,42.62,42.72,42.12,42.25,1678000
GLD,2005-06-13,42.78,43.01,42.7,42.81,2331600
GLD,2005-06-14,42.6,42.7,42.58,42.66,825500
GLD,2005-06-15,42.74,42.89,42.67,42.69,2311400
GLD,2005-06-16,43.46,43.55,43.17,43.3,1809200
GLD,2005-06-17,43.63,43.85,43.61,43.78,1816500
GLD,2005-06-20,43.66,43.94,43.66,43.94,1433700
GLD,2005-06-21,43.81,43.82,43.42,43.58,672600
GLD,2005-06-22,43.72,43.76,43.53,43.66,1258500
GLD,2005-06-23,44.02,44.13,43.78,43.84,1576600
GLD,2005-06-24,43.9,44.06,43.68,43.96,473500
GLD,2005-06-27,43.91,43.93,43.73,43.9,1016600
GLD,2005-06-28,43.45,43.64,43.37,43.64,1295600
GLD,2005-06-29,43.63,43.7,43.46,43.49,1199800
GLD,2005-06-30,43.44,43.77,43.36,43.63,1087500
GLD,2005-07-01,42.7,43.4,42.59,43.4,1755500
GLD,2005-07-04,42.7,43.4,42.59,43.4,0
GLD,2005-07-05,42.28,42.34,42.06,42.33,2582700
GLD,2005-07-06,42.25,42.38,42.24,42.36,1254600
GLD,2005-07-07,42.36,42.56,42.05,42.47,4345200
GLD,2005-07-08,42.26,42.4,42.12,42.32,824300
GLD,2005-07-11,42.54,42.57,42.28,42.33,2252900
GLD,2005-07-12,42.64,42.64,42.4,42.61,1274200
GLD,2005-07-13,42.35,42.38,42.25,42.35,981300
GLD,2005-07-14,41.9,42.36,41.8,42.33,1642600
GLD,2005-07-15,42.05,42.07,41.7,41.76,1104800
GLD,2005-07-18,42.01,42.17,41.94,41.96,956400
GLD,2005-07-19,41.89,42.0,41.81,41.88,1132600
GLD,2005-07-20,42.2,42.25,42.05,42.16,2266800
GLD,2005-07-21,42.46,42.51,42.33,42.43,1777300
GLD,2005-07-22,42.45,42.48,42.34,42.45,633300
GLD,2005-07-25,42.51,42.56,42.43,42.46,2122100
GLD,2005-07-26,42.25,42.37,42.14,42.28,637000
GLD,2005-07-27,42.44,42.5,42.3,42.3,1560600
GLD,2005-07-28,42.75,42.79,42.46,42.46,3673300
GLD,2005-07-29,42.82,42.96,42.79,42.83,1185100
GLD,2005-08-01,43.13,43.17,42.99,43.08,1493900
GLD,2005-08-02,43.14,43.15,42.99,43.07,699600
GLD,2005-08-03,43.53,43.62,43.35,43.38,1545900
GLD,2005-08-04,43.68,43.82,43.63,43.68,867600
GLD,2005-08-05,43.6,43.75,43.56,43.71,1100800
GLD,2005-08-08,43.35,43.55,43.27,43.52,1108500
GLD,2005-08-09,43.34,43.35,43.166,43.27,1305800
GLD,2005-08-10,43.65,43.66,43.45,43.5,695500
GLD,2005-08-11,44.45,44.62,43.86,43.9,2187600
GLD,2005-08-12,44.49,44.72,44.43,44.49,2428500
GLD,2005-08-15,44.13,44.27,43.98,44.19,1524500
GLD,2005-08-16,44.55,44.57,44.05,44.06,1883000
GLD,2005-08-17,43.91,44.3,43.72,44.26,1990300
GLD,2005-08-18,43.83,44.14,43.82,43.94,1093500
GLD,2005-08-19,43.6,43.88,43.49,43.77,811800
GLD,2005-08-22,43.7,43.95,43.66,43.84,877200
GLD,2005-08-23,43.76,43.9,43.71,43.84,607700
GLD,2005-08-24,43.59,43.96,43.41,43.94,894300
GLD,2005-08-25,43.73,43.81,43.6,43.76,1652600
GLD,2005-08-26,43.61,43.9,43.51,43.78,1301700
GLD,2005-08-29,43.57,43.96,43.56,43.81,1585500
GLD,2005-08-30,43.01,43.07,42.81,42.96,2200400
GLD,2005-08-31,43.4,43.4,43.03,43.1,2416500
GLD,2005-09-01,44.22,44.4,43.85,43.93,2502900
GLD,2005-09-02,44.25,44.36,44.09,44.24,1414900
GLD,2005-09-05,44.25,44.36,44.09,44.24,0
GLD,2005-09-06,44.27,44.42,44.19,44.42,819700
GLD,2005-09-07,44.33,44.49,44.29,44.38,1300700
GLD,2005-09-08,44.6,44.78,44.47,44.72,1061200
GLD,2005-09-09,44.84,44.87,44.66,44.67,1393900
GLD,2005-09-12,44.89,44.89,44.62,44.68,752500
GLD,2005-09-13,44.56,44.62,44.36,44.62,952700
GLD,2005-09-14,44.96,44.96,44.66,44.82,1733800
GLD,2005-09-15,45.42,45.47,45.13,45.24,2150300
GLD,2005-09-16,45.82,45.88,45.55,45.8,2878900
GLD,2005-09-19,46.25,46.73,46.22,46.27,6072100
GLD,2005-09-20,46.23,46.52,46.22,46.52,1898900
GLD,2005-09-21,47.06,47.13,46.55,46.58,3681900
GLD,2005-09-22,46.36,46.84,46.224,46.84,2347300
GLD,2005-09-23,46.28,46.3,45.92,46.2,2352800
GLD,2005-09-26,46.57,46.61,45.84,45.84,1361200
GLD,2005-09-27,46.25,46.33,45.66,46.14,2341300
GLD,2005-09-28,46.8,46.89,46.16,46.3,3448100
GLD,2005-09-29,47.1,47.23,46.83,46.86,2947300
GLD,2005-09-30,46.7,47.2,46.65,47.09,1194400
GLD,2005-10-03,46.42,46.63,46.38,46.62,2194900
GLD,2005-10-04,46.45,46.73,46.3,46.67,1764800
GLD,2005-10-05,46.36,46.53,46.14,46.38,1692300
GLD,2005-10-06,47.21,47.26,46.62,46.62,2009500
GLD,2005-10-07,47.36,47.48,46.94,46.99,1820500
GLD,2005-10-10,47.37,47.44,47.09,47.31,1285500
GLD,2005-10-11,47.39,47.72,47.36,47.4,2826900
GLD,2005-10-12,46.85,47.64,46.82,47.53,3930500
GLD,2005-10-13,47.02,47.06,46.6,46.89,2632300
GLD,2005-10-14,46.8,46.83,46.41,46.49,2442300
GLD,2005-10-17,47.26,47.37,47.19,47.26,1784300
GLD,2005-10-18,47.0,47.18,46.93,47.09,1243200
GLD,2005-10-19,46.34,46.51,46.04,46.51,2958200
GLD,2005-10-20,45.98,46.34,45.83,46.33,1680300
GLD,2005-10-21,46.52,46.56,45.91,46.12,1409400
GLD,2005-10-24,46.39,46.73,46.31,46.39,2051300
GLD,2005-10-25,47.06,47.19,46.9,46.93,3290600
GLD,2005-10-26,46.93,47.21,46.89,47.09,2248400
GLD,2005-10-27,47.18,47.42,47.1,47.4,2464500
GLD,2005-10-28,47.22,47.26,46.82,46.87,1435000
GLD,2005-10-31,46.4,47.04,46.33,47.02,2327500
GLD,2005-11-01,45.73,46.07,45.65,46.07,3483400
GLD,2005-11-02,46.13,46.23,45.9,45.99,1008599
GLD,2005-11-03,45.96,46.08,45.75,46.06,1703300
GLD,2005-11-04,45.51,46.07,45.32,45.93,1813200
GLD,2005-11-07,45.77,45.82,45.46,45.67,839100
GLD,2005-11-08,45.91,46.1,45.82,45.83,583600
GLD,2005-11-09,46.56,46.65,46.03,46.12,1382700
GLD,2005-11-10,46.48,46.82,46.36,46.78,810900
GLD,2005-11-11,46.8,46.8,46.439,46.55,1467300
GLD,2005-11-14,46.62,46.81,46.51,46.56,706500
GLD,2005-11-15,46.66,46.83,46.53,46.8,1325400
GLD,2005-11-16,47.78,47.78,47.22,47.29,2355200
GLD,2005-11-17,48.48,48.58,48.17,48.23,4172399
GLD,2005-11-18,48.46,48.61,48.2,48.5,1453800
GLD,2005-11-21,48.99,49.02,48.5,48.69,2384900
GLD,2005-11-22,49.32,49.34,48.8501,49.02,2799500
GLD,2005-11-23,49.15,49.25,47.92,48.8,1731700
GLD,2005-11-24,49.15,49.25,47.92,48.8,0
GLD,2005-11-25,49.55,49.56,49.4,49.45,0
GLD,2005-11-28,49.74,49.75,49.26,49.3,2192000
GLD,2005-11-29,49.8,49.98,49.38,49.57,2283600
GLD,2005-11-30,49.1,49.5,49.06,49.36,1833400
GLD,2005-12-01,50.17,50.29,49.58,49.63,2557900
GLD,2005-12-02,50.32,50.34,49.89,49.93,1651900
GLD,2005-12-05,50.78,50.8,50.29,50.43,1847500
GLD,2005-12-06,50.89,50.95,50.21,50.38,2493600
GLD,2005-12-07,51.32,51.5,51.1,51.22,2279800
GLD,2005-12-08,51.9,51.95,51.26,51.34,3046000
GLD,2005-12-09,52.38,52.9,52.09,52.29,5882300
GLD,2005-12-12,52.57,53.75,52.25,53.15,7504600
GLD,2005-12-13,51.65,53.23,51.56,52.2,6162100
GLD,2005-12-14,50.34,51.2,50.27,50.97,6993900
GLD,2005-12-15,50.2,50.78,50.12,50.48,4728000
GLD,2005-12-16,50.14,50.57,49.95,50.33,2688000
GLD,2005-12-19,50.22,50.75,50.13,50.6,2075200
GLD,2005-12-20,49.04,50.38,49.02,50.35,4317900
GLD,2005-12-21,49.38,49.45,48.81,49.1,3956000
GLD,2005-12-22,50.16,50.3,49.47,49.53,2965300
GLD,2005-12-23,50.15,50.46,50.09,50.09,2877600
GLD,2005-12-26,50.15,50.46,50.09,50.09,0
GLD,2005-12-27,50.64,50.69,50.51,50.58,4403700
GLD,2005-12-28,51.48,51.6,51.19,51.51,5060700
GLD,2005-12-29,51.53,51.55,50.92,51.55,3280200
GLD,2005-12-30,51.7,51.7,51.21,51.24,2635900
GLD,2006-01-02,51.7,51.7,51.21,51.24,0
GLD,2006-01-03,53.12,53.18,52.23,52.29,4606500
GLD,2006-01-04,53.31,53.34,52.63,52.88,5287900
GLD,2006-01-05,52.34,52.7,52.1,52.53,7661800
GLD,2006-01-06,53.7,53.87,53.06,53.14,4629800
GLD,2006-01-09,54.59,54.93,53.32,53.41,5394200
GLD,2006-01-10,54.09,54.36,53.76,53.96,5700500
GLD,2006-01-11,54.54,54.74,54.07,54.18,4209500
GLD,2006-01-12,54.35,54.63,54.01,54.22,3602700
GLD,2006-01-13,55.44,55.56,54.51,54.51,4346200
GLD,2006-01-16,55.44,55.56,54.51,54.51,0
GLD,2006-01-17,55.23,55.86,55.03,55.19,5130400
GLD,2006-01-18,54.08,54.7,54.01,54.64,4565200
GLD,2006-01-19,55.58,55.7,54.95,54.96,5290700
GLD,2006-01-20,55.17,56.58,55.04,56.12,7270600
GLD,2006-01-23,55.75,55.89,55.26,55.56,4968500
GLD,2006-01-24,55.71,55.73,55.28,55.5,3419100
GLD,2006-01-25,56.13,56.5,55.75,56.27,10005200
GLD,2006-01-26,55.86,55.91,55.27,55.48,4306200
GLD,2006-01-27,55.68,56.23,55.47,55.96,4285400
GLD,2006-01-30,56.69,56.69,55.97,55.97,3969100
GLD,2006-01-31,56.72,57.05,56.55,56.56,5011700
GLD,2006-02-01,56.67,56.88,56.1,56.78,4700900
GLD,2006-02-02,57.05,57.3,56.68,57.0,5113700
GLD,2006-02-03,56.5,57.17,56.28,57.14,5054000
GLD,2006-02-06,56.72,57.12,56.67,56.7,3455100
GLD,2006-02-07,54.6,55.88,54.33,55.88,10193800
GLD,2006-02-08,54.83,55.08,54.41,54.7,5376400
GLD,2006-02-09,56.18,56.45,55.55,55.72,5299300
GLD,2006-02-10,54.79,55.74,54.42,55.74,4328700
GLD,2006-02-13,53.72,54.9,53.55,54.64,5122900
GLD,2006-02-14,54.49,54.53,53.68,53.94,3611000
GLD,2006-02-15,53.76,54.3,53.33,54.3,4813900
GLD,2006-02-16,54.52,54.54,53.42,53.42,5589700
GLD,2006-02-17,54.96,55.18,54.65,54.65,3927200
GLD,2006-02-20,54.96,55.18,54.65,54.65,0
GLD,2006-02-21,55.12,55.34,55.07,55.15,3343500
GLD,2006-02-22,55.34,55.34,54.88,54.95,3835700
GLD,2006-02-23,54.64,55.11,54.56,55.08,2428500
GLD,2006-02-24,55.6,55.7,55.03,55.21,4927100
GLD,2006-02-27,55.18,55.29,55.01,55.22,2291600
GLD,2006-02-28,55.99,56.0,55.31,55.45,3425800
GLD,2006-03-01,56.07,56.41,55.92,56.08,4266400
GLD,2006-03-02,56.76,56.81,55.99,56.23,3862000
GLD,2006-03-03,56.27,56.54,56.2,56.4,3102100
GLD,2006-03-06,55.25,56.44,54.96,56.4,5427100
GLD,2006-03-07,54.99,55.29,54.58,55.29,4385000
GLD,2006-03-08,53.98,54.26,53.56,54.18,6704500
GLD,2006-03-09,54.23,54.78,54.13,54.54,3799100
GLD,2006-03-10,53.83,53.97,53.18,53.18,6487500
GLD,2006-03-13,54.32,54.44,53.94,54.08,2301500
GLD,2006-03-14,54.87,54.99,54.2,54.23,2671700
GLD,2006-03-15,55.13,55.41,54.98,55.37,4705800
GLD,2006-03-16,55.33,55.34,54.5,55.17,3342200
GLD,2006-03-17,55.12,55.32,54.95,55.26,2236000
GLD,2006-03-20,55.17,55.35,54.99,54.99,1884000
GLD,2006-03-21,54.81,55.23,54.42,54.68,4518700
GLD,2006-03-22,54.78,54.92,54.6,54.73,1077300
GLD,2006-03-23,54.7,54.83,54.27,54.32,4000800
GLD,2006-03-24,55.7,55.82,55.14,55.15,3785000
GLD,2006-03-27,56.43,56.55,56.2,56.2,4081900
GLD,2006-03-28,56.04,56.62,55.94,56.57,3419700
GLD,2006-03-29,57.09,57.15,56.25,56.32,5536700
GLD,2006-03-30,58.58,58.69,57.82,57.95,5873500
GLD,2006-03-31,58.08,58.3,57.65,58.12,5074400
GLD,2006-04-03,58.46,58.9,58.4,58.62,4894500
GLD,2006-04-04,58.38,58.76,58.18,58.41,5094400
GLD,2006-04-05,58.66,58.7,58.0,58.61,6660300
GLD,2006-04-06,59.28,59.34,58.86,58.94,5642700
GLD,2006-04-07,58.6,58.82,58.22,58.48,3426300
GLD,2006-04-10,59.56,59.65,58.97,59.48,3681700
GLD,2006-04-11,59.07,59.83,59.0,59.54,5022900
GLD,2006-04-12,59.45,59.71,59.15,59.42,3709300
GLD,2006-04-13,59.51,59.55,58.88,59.1,2812500
GLD,2006-04-14,59.51,59.55,58.88,59.1,0
GLD,2006-04-17,61.07,61.3,60.2,60.4,6072600
GLD,2006-04-18,61.91,61.93,61.09,61.3,5127300
GLD,2006-04-19,63.73,63.95,61.9,61.9,11280600
GLD,2006-04-20,61.0,63.41,60.52,63.4,12977100
GLD,2006-04-21,63.16,63.28,61.82,62.5,7528100
