Symbol,Date,Close,High,Low,Open,Volume
SHY,2005-01-03,81.44,81.45,81.37,81.37,370200
SHY,2005-01-04,81.26,81.42,81.26,81.41,425300
SHY,2005-01-05,81.28,81.32,81.24,81.26,273500
SHY,2005-01-06,81.32,81.37,81.3,81.3,318800
SHY,2005-01-07,81.33,81.34,81.29,81.33,142500
SHY,2005-01-10,81.28,81.33,81.26,81.32,296100
SHY,2005-01-11,81.3,81.32,81.27,81.32,296000
SHY,2005-01-12,81.31,81.37,81.29,81.29,126400
SHY,2005-01-13,81.41,81.41,81.34,81.37,104500
SHY,2005-01-14,81.37,81.39,81.28,81.35,213100
SHY,2005-01-17,81.37,81.39,81.28,81.35,0
SHY,2005-01-18,81.34,81.34,81.26,81.26,167000
SHY,2005-01-19,81.35,81.35,81.28,81.34,221700
SHY,2005-01-20,81.42,81.43,81.34,81.37,156500
SHY,2005-01-21,81.5,81.5,81.4,81.4,188000
SHY,2005-01-24,81.45,81.49,81.4,81.49,325700
SHY,2005-01-25,81.42,81.43,81.36,81.43,219300
SHY,2005-01-26,81.39,81.44,81.37,81.38,114100
SHY,2005-01-27,81.37,81.38,81.33,81.37,273700
SHY,2005-01-28,81.41,81.45,81.39,81.4,101400
SHY,2005-01-31,81.4,81.41,81.34,81.4,179500
SHY,2005-02-01,81.4,81.41,81.34,81.4,0
SHY,2005-02-02,81.22,81.27,81.2,81.23,179400
SHY,2005-02-03,81.18,81.2,81.15,81.15,270700
SHY,2005-02-04,81.25,81.3,81.2,81.25,451400
SHY,2005-02-07,81.23,81.25,81.19,81.24,345700
SHY,2005-02-08,81.2,81.23,81.17,81.21,154400
SHY,2005-02-09,81.35,81.37,81.24,81.24,415000
SHY,2005-02-10,81.29,81.34,81.26,81.34,506499
SHY,2005-02-11,81.25,81.32,81.22,81.3,298600
SHY,2005-02-14,81.21,81.25,81.18,81.25,640700
SHY,2005-02-15,81.22,81.24,81.19,81.19,261000
SHY,2005-02-16,81.18,81.26,81.14,81.22,163100
SHY,2005-02-17,81.22,81.23,81.15,81.18,443800
SHY,2005-02-18,81.11,81.19,81.1,81.17,199100
SHY,2005-02-21,81.11,81.19,81.1,81.17,0
SHY,2005-02-22,81.14,81.17,81.11,81.11,177600
SHY,2005-02-23,81.13,81.2,81.13,81.14,727500
SHY,2005-02-24,81.11,81.17,81.08,81.13,223400
SHY,2005-02-25,81.07,81.11,81.05,81.11,595100
SHY,2005-02-28,81.02,81.08,80.95,81.06,502900
SHY,2005-03-01,81.02,81.08,80.95,81.06,0
SHY,2005-03-02,80.89,80.93,80.84,80.88,390100
SHY,2005-03-03,80.92,80.95,80.87,80.93,1341100
SHY,2005-03-04,80.92,80.98,80.91,80.98,438000
SHY,2005-03-07,80.89,80.95,80.88,80.9,429300
SHY,2005-03-08,80.89,80.89,80.82,80.88,242400
SHY,2005-03-09,80.86,80.9,80.82,80.82,376400
SHY,2005-03-10,80.8,80.87,80.79,80.87,236900
SHY,2005-03-11,80.78,80.83,80.74,80.83,758700
SHY,2005-03-14,80.75,80.78,80.724,80.78,214900
SHY,2005-03-15,80.72,80.79,80.72,80.76,258900
SHY,2005-03-16,80.82,80.88,80.78,80.82,376100
SHY,2005-03-17,80.85,80.9,80.82,80.88,224400
SHY,2005-03-18,80.81,80.85,80.8,80.85,111200
SHY,2005-03-21,80.86,80.86,80.79,80.81,1622400
SHY,2005-03-22,80.72,80.92,80.68,80.87,1623900
SHY,2005-03-23,80.71,80.72,80.62,80.66,216000
SHY,2005-03-24,80.73,80.76,80.67,80.71,270500
SHY,2005-03-25,80.73,80.76,80.67,80.71,0
SHY,2005-03-28,80.69,80.71,80.65,80.69,865700
SHY,2005-03-29,80.75,80.75,80.68,80.69,263600
SHY,2005-03-30,80.76,80.78,80.71,80.71,168300
SHY,2005-03-31,80.87,80.87,80.79,80.8,189200
SHY,2005-04-01,80.87,80.87,80.79,80.8,0
SHY,2005-04-04,80.73,80.78,80.7,80.72,543700
SHY,2005-04-05,80.75,80.78,80.71,80.77,134500
SHY,2005-04-06,80.81,80.83,80.77,80.78,175200
SHY,2005-04-07,80.78,80.86,80.77,80.84,294200
SHY,2005-04-08,80.77,80.78,80.72,80.73,136900
SHY,2005-04-11,80.77,80.8,80.72,80.75,208000
SHY,2005-04-12,80.82,80.88,80.73,80.75,140300
SHY,2005-04-13,80.94,80.94,80.85,80.87,262800
SHY,2005-04-14,81.01,81.04,80.94,80.95,164200
SHY,2005-04-15,81.14,81.14,81.01,81.08,292700
SHY,2005-04-18,81.1,81.18,81.08,81.14,725600
SHY,2005-04-19,81.2,81.22,81.08,81.08,1463600
SHY,2005-04-20,81.17,81.2,81.07,81.1,496600
SHY,2005-04-21,81.03,81.14,81.01,81.11,200900
SHY,2005-04-22,81.05,81.12,81.03,81.12,141300
SHY,2005-04-25,81.07,81.07,81.03,81.07,315100
SHY,2005-04-26,81.05,81.09,80.99,81.08,192400
SHY,2005-04-27,81.11,81.15,81.06,81.13,479900
SHY,2005-04-28,81.18,81.21,81.14,81.18,273700
SHY,2005-04-29,81.1,81.18,81.08,81.15,428400
SHY,2005-05-02,81.1,81.18,81.08,81.15,0
SHY,2005-05-03,80.97,80.98,80.88,80.92,303200
SHY,2005-05-04,81.0,81.01,80.94,80.98,621300
SHY,2005-05-05,81.08,81.13,81.0,81.07,214600
SHY,2005-05-06,80.9,80.94,80.84,80.93,213600
SHY,2005-05-09,80.86,80.87,80.82,80.86,118700
SHY,2005-05-10,80.92,80.96,80.86,80.87,229200
SHY,2005-05-11,80.97,81.03,80.95,80.99,92800
SHY,2005-05-12,81.01,81.01,80.89,80.96,216200
SHY,2005-05-13,81.1,81.11,81.03,81.07,129899
SHY,2005-05-16,81.08,81.13,81.08,81.13,129300
SHY,2005-05-17,81.08,81.15,81.08,81.12,118800
SHY,2005-05-18,81.16,81.21,81.12,81.16,302100
SHY,2005-05-19,81.04,81.14,81.04,81.09,200900
SHY,2005-05-20,81.04,81.09,81.02,81.08,143500
SHY,2005-05-23,81.09,81.12,81.06,81.09,1662900
SHY,2005-05-24,81.14,81.14,81.09,81.11,123700
SHY,2005-05-25,81.17,81.21,81.11,81.21,228300
SHY,2005-05-26,81.14,81.15,81.1,81.13,191400
SHY,2005-05-27,81.17,81.17,81.11,81.12,130100
SHY,2005-05-30,81.17,81.17,81.11,81.12,0
SHY,2005-05-31,81.23,81.24,81.15,81.17,164200
SHY,2005-06-01,81.23,81.24,81.15,81.17,0
SHY,2005-06-02,81.17,81.19,81.12,81.14,401400
SHY,2005-06-03,81.07,81.23,81.06,81.23,180400
SHY,2005-06-06,81.11,81.12,81.05,81.1,1264700
SHY,2005-06-07,81.13,81.15,81.07,81.15,190000
SHY,2005-06-08,81.11,81.15,81.076,81.15,149300
SHY,2005-06-09,81.06,81.08,81.01,81.08,338200
SHY,2005-06-10,80.99,81.03,80.95,81.01,313900
SHY,2005-06-13,80.99,81.01,80.95,81.0,153100
SHY,2005-06-14,81.01,81.01,80.97,81.0,264200
SHY,2005-06-15,80.99,81.02,80.95,80.99,135000
SHY,2005-06-16,81.06,81.06,80.96,80.99,379600
SHY,2005-06-17,81.05,81.06,81.0,81.03,887800
SHY,2005-06-20,81.03,81.04,81.0,81.02,211600
SHY,2005-06-21,81.04,81.09,81.02,81.05,253699
SHY,2005-06-22,81.22,81.22,81.08,81.16,274500
SHY,2005-06-23,81.19,81.21,81.13,81.19,198300
SHY,2005-06-24,81.23,81.28,81.21,81.28,383000
