Symbol,Date,Close,High,Low,Open,Volume
TLT,2005-01-03,88.74,88.84,88.16,88.18,1168600
TLT,2005-01-04,87.81,88.75,87.81,88.72,1935400
TLT,2005-01-05,88.28,88.55,87.94,87.99,1094100
TLT,2005-01-06,88.34,88.54,88.22,88.29,1057400
TLT,2005-01-07,88.54,88.87,88.35,88.76,738700
TLT,2005-01-10,88.68,88.72,88.47,88.64,379400
TLT,2005-01-11,89.2,89.28,88.74,88.9,845100
TLT,2005-01-12,89.32,89.44,88.8,88.87,722000
TLT,2005-01-13,90.18,90.18,89.73,89.75,1876700
TLT,2005-01-14,90.17,90.4,89.81,89.9,1043800
TLT,2005-01-17,90.17,90.4,89.81,89.9,0
TLT,2005-01-18,90.47,90.49,89.73,89.8,1251600
TLT,2005-01-19,90.73,90.84,90.27,90.8,655800
TLT,2005-01-20,90.91,91.02,90.35,90.42,1064200
TLT,2005-01-21,91.01,91.05,90.52,90.6,606300
TLT,2005-01-24,91.4,91.5,91.0,91.09,561400
TLT,2005-01-25,90.54,91.4,90.51,91.36,1942200
TLT,2005-01-26,90.71,90.92,90.63,90.85,709800
TLT,2005-01-27,90.54,90.7,90.34,90.52,463900
TLT,2005-01-28,91.45,91.6,91.17,91.22,1128000
TLT,2005-01-31,91.71,91.75,91.29,91.33,1313900
TLT,2005-02-01,91.71,91.75,91.29,91.33,0
TLT,2005-02-02,91.43,91.46,91.09,91.2,760300
TLT,2005-02-03,91.35,91.44,91.06,91.06,506000
TLT,2005-02-04,92.65,92.94,92.46,92.47,3483900
TLT,2005-02-07,93.34,93.42,92.7,92.74,1064600
TLT,2005-02-08,93.87,94.12,93.33,93.37,1383800
TLT,2005-02-09,94.12,94.24,93.38,93.44,2125800
TLT,2005-02-10,92.85,93.68,92.75,93.49,1239900
TLT,2005-02-11,92.79,92.98,92.4,92.46,1275100
TLT,2005-02-14,93.08,93.21,92.73,92.9,295000
TLT,2005-02-15,92.61,92.86,92.57,92.6,900100
TLT,2005-02-16,92.26,92.57,91.8,92.51,1189700
TLT,2005-02-17,91.68,92.14,91.6,91.76,1146500
TLT,2005-02-18,90.86,90.95,90.46,90.55,2656300
TLT,2005-02-21,90.86,90.95,90.46,90.55,0
TLT,2005-02-22,90.46,90.75,90.4,90.63,914600
TLT,2005-02-23,90.76,91.17,90.43,91.14,1115000
TLT,2005-02-24,90.56,91.33,90.56,91.16,798500
TLT,2005-02-25,91.0,91.14,90.62,90.89,588800
TLT,2005-02-28,90.02,91.1,89.89,91.1,2797400
TLT,2005-03-01,90.02,91.1,89.89,91.1,0
TLT,2005-03-02,89.59,89.72,89.42,89.45,1139300
TLT,2005-03-03,89.54,89.8,89.45,89.62,1600600
TLT,2005-03-04,90.51,90.67,89.87,89.99,1567000
TLT,2005-03-07,90.87,90.99,90.75,90.85,889800
TLT,2005-03-08,90.01,90.27,89.94,90.13,680400
TLT,2005-03-09,88.54,89.4,88.44,89.18,2549600
TLT,2005-03-10,89.08,89.33,88.39,88.74,1357700
TLT,2005-03-11,88.43,88.87,88.4,88.65,1017900
TLT,2005-03-14,88.96,89.0,88.3,88.37,805000
TLT,2005-03-15,88.4,89.3,88.4,89.29,963900
TLT,2005-03-16,88.94,89.36,88.54,88.54,2097800
TLT,2005-03-17,89.23,89.58,89.12,89.35,1025300
TLT,2005-03-18,88.67,88.98,88.67,88.9,723300
TLT,2005-03-21,88.42,88.67,88.38,88.67,898100
TLT,2005-03-22,87.67,89.05,87.54,88.94,2545000
TLT,2005-03-23,88.09,88.16,87.53,87.53,1951700
TLT,2005-03-24,88.27,88.46,88.18,88.32,746800
TLT,2005-03-25,88.27,88.46,88.18,88.32,0
TLT,2005-03-28,87.73,88.0,87.72,87.99,382200
TLT,2005-03-29,88.25,88.28,87.99,88.0015,1135000
TLT,2005-03-30,88.69,88.75,88.16,88.2,1098200
TLT,2005-03-31,89.33,89.39,88.86,89.2,2410900
TLT,2005-04-01,89.33,89.39,88.86,89.2,0
TLT,2005-04-04,89.28,89.66,89.17,89.28,754900
TLT,2005-04-05,89.05,89.36,88.93,89.24,733300
TLT,2005-04-06,89.36,89.44,89.2,89.41,402800
TLT,2005-04-07,88.64,89.58,88.61,89.3,973000
TLT,2005-04-08,88.95,89.0,88.34,88.56,438600
TLT,2005-04-11,89.43,89.62,88.94,88.97,1460200
TLT,2005-04-12,90.26,90.4,89.12,89.23,1931600
TLT,2005-04-13,90.04,90.44,89.8,90.35,1001700
TLT,2005-04-14,89.9,90.12,89.66,90.08,1462100
TLT,2005-04-15,91.09,91.12,90.22,90.54,2957300
TLT,2005-04-18,91.02,91.39,90.94,91.37,3510900
TLT,2005-04-19,91.9,92.04,91.32,91.34,1842600
TLT,2005-04-20,91.67,91.77,91.18,91.22,1617900
TLT,2005-04-21,90.71,91.42,90.7,91.3,1388500
TLT,2005-04-22,91.47,91.58,91.09,91.27,976300
TLT,2005-04-25,91.74,91.82,91.51,91.66,818300
TLT,2005-04-26,91.6,92.05,91.34,91.99,549300
TLT,2005-04-27,91.92,92.2,91.8,92.05,684900
TLT,2005-04-28,92.6,92.65,91.95,92.05,1062000
TLT,2005-04-29,92.44,92.94,92.22,92.57,1450800
TLT,2005-05-02,92.44,92.94,92.22,92.57,0
TLT,2005-05-03,92.34,92.54,91.92,92.07,1890000
TLT,2005-05-04,91.53,91.72,91.05,91.45,2212500
TLT,2005-05-05,91.74,91.84,91.21,91.3,1757900
TLT,2005-05-06,91.06,91.2,90.81,90.93,850600
TLT,2005-05-09,91.15,91.24,91.0,91.01,327800
TLT,2005-05-10,91.8,91.8,91.34,91.36,495500
TLT,2005-05-11,92.08,92.52,91.99,92.14,1058700
TLT,2005-05-12,92.44,92.47,91.72,92.0,657000
TLT,2005-05-13,92.8,93.02,92.57,92.71,1698100
TLT,2005-05-16,92.69,93.07,92.68,93.04,825000
TLT,2005-05-17,92.95,93.19,92.9,92.96,856300
TLT,2005-05-18,93.57,93.8,93.34,93.7,1092300
TLT,2005-05-19,93.33,93.7,93.28,93.7,948800
TLT,2005-05-20,93.44,93.51,93.21,93.25,806800
TLT,2005-05-23,94.17,94.23,93.57,93.6,905600
TLT,2005-05-24,94.43,94.65,94.18,94.53,1695400
TLT,2005-05-25,93.77,94.65,93.73,94.59,1923300
TLT,2005-05-26,93.74,94.07,93.59,93.59,978300
TLT,2005-05-27,93.84,93.98,93.54,93.74,650600
TLT,2005-05-30,93.84,93.98,93.54,93.74,0
TLT,2005-05-31,95.0,95.05,94.22,94.22,1979000
TLT,2005-06-01,95.0,95.05,94.22,94.22,0
TLT,2005-06-02,96.04,96.19,95.73,95.73,1854100
TLT,2005-06-03,95.25,97.0,95.2,96.9,5559000
TLT,2005-06-06,95.75,95.88,95.35,95.5,1088700
TLT,2005-06-07,96.51,96.58,96.05,96.47,1503300
TLT,2005-06-08,96.05,96.45,96.05,96.31,1272400
TLT,2005-06-09,95.97,96.01,95.43,95.67,612700
TLT,2005-06-10,94.89,95.55,94.86,95.55,1464800
TLT,2005-06-13,94.32,94.53,94.17,94.48,1617700
TLT,2005-06-14,93.7,94.16,93.57,94.05,2139300
TLT,2005-06-15,93.87,93.87,93.33,93.39,2000200
TLT,2005-06-16,94.34,94.42,93.57,93.8,1370400
TLT,2005-06-17,94.33,94.47,94.02,94.11,555900
TLT,2005-06-20,94.17,94.2,93.6,93.82,454000
TLT,2005-06-21,94.86,94.86,94.32,94.38,503100
TLT,2005-06-22,96.01,96.09,95.26,95.49,952300
TLT,2005-06-23,95.91,95.98,95.54,95.8,996300
TLT,2005-06-24,96.39,96.45,96.02,96.24,930700
TLT,2005-06-27,96.65,96.81,96.35,96.49,1211000
TLT,2005-06-28,95.99,96.37,95.91,96.32,982400
TLT,2005-06-29,95.84,96.48,95.6,96.47,1682400
TLT,2005-06-30,96.7,96.72,95.81,95.86,2159400
TLT,2005-07-01,96.7,96.72,95.81,95.86,0
TLT,2005-07-04,96.7,96.72,95.81,95.86,0
TLT,2005-07-05,94.3,94.74,94.27,94.35,1076100
TLT,2005-07-06,94.82,94.83,94.43,94.63,854100
TLT,2005-07-07,95.02,95.55,94.96,95.43,1673000
TLT,2005-07-08,94.63,95.25,94.32,95.25,1259300
TLT,2005-07-11,94.63,94.65,93.95,94.11,982000
TLT,2005-07-12,94.1,94.53,94.06,94.35,743700
TLT,2005-07-13,93.96,94.1,93.86,94.05,886600
TLT,2005-07-14,93.72,94.14,93.6,94.1,874800
TLT,2005-07-15,93.97,94.03,93.5,93.5,1064800
TLT,2005-07-18,93.27,93.97,93.1,93.85,1204500
TLT,2005-07-19,93.6,93.72,93.12,93.23,1227200
TLT,2005-07-20,94.11,94.24,93.18,93.51,1984700
TLT,2005-07-21,92.83,93.54,92.68,93.48,3824200
TLT,2005-07-22,93.55,93.62,93.03,93.1,1615200
TLT,2005-07-25,93.21,93.71,93.14,93.4,305100
TLT,2005-07-26,93.36,93.41,93.17,93.27,340500
TLT,2005-07-27,93.21,93.27,93.01,93.07,843300
TLT,2005-07-28,94.04,94.17,93.38,93.38,578900
TLT,2005-07-29,93.11,93.8,92.85,93.8,1699900
TLT,2005-08-01,93.11,93.8,92.85,93.8,0
TLT,2005-08-02,92.12,92.46,91.96,92.27,1071400
TLT,2005-08-03,92.57,92.66,92.25,92.25,591100
TLT,2005-08-04,92.38,92.79,92.2,92.59,1046800
TLT,2005-08-05,91.66,91.87,91.554,91.7,1066700
TLT,2005-08-08,91.49,91.85,91.44,91.68,988400
TLT,2005-08-09,91.83,91.85,91.28,91.7,1474800
TLT,2005-08-10,91.73,92.1,91.54,92.01,1069300
TLT,2005-08-11,92.37,92.45,91.7,92.03,881900
TLT,2005-08-12,93.31,93.44,92.57,92.62,1765100
TLT,2005-08-15,93.07,93.3,93.05,93.26,1105400
TLT,2005-08-16,93.72,93.9,93.5,93.68,1311000
TLT,2005-08-17,93.1,93.73,92.98,93.51,1287600
TLT,2005-08-18,93.79,93.81,93.27,93.45,995300
TLT,2005-08-19,93.78,93.84,93.34,93.36,439200
TLT,2005-08-22,93.68,93.8,93.2,93.54,599300
TLT,2005-08-23,94.11,94.23,93.65,93.73,491800
TLT,2005-08-24,94.2,94.33,93.85,94.27,998200
TLT,2005-08-25,94.5,94.61,94.06,94.28,812400
TLT,2005-08-26,94.47,94.88,94.2,94.65,874600
TLT,2005-08-29,94.59,94.88,94.5,94.83,550100
TLT,2005-08-30,95.19,95.35,94.72,94.83,1392700
TLT,2005-08-31,95.99,96.0,95.3,95.31,1310800
TLT,2005-09-01,95.99,96.0,95.3,95.31,0
TLT,2005-09-02,95.16,95.29,94.8,94.88,621400
TLT,2005-09-05,95.16,95.29,94.8,94.88,0
TLT,2005-09-06,94.49,95.17,94.48,95.01,967600
TLT,2005-09-07,93.6,94.18,93.36,94.18,1090200
TLT,2005-09-08,93.7,93.98,93.6,93.89,373100
TLT,2005-09-09,94.0,94.32,93.88,93.96,426400
TLT,2005-09-12,93.35,93.71,93.19,93.66,917300
TLT,2005-09-13,93.84,94.12,93.64,93.76,450400
TLT,2005-09-14,93.48,93.88,93.38,93.82,346400
TLT,2005-09-15,92.71,93.35,92.4,93.35,2225800
TLT,2005-09-16,92.1,92.48,91.88,92.3,2145500
TLT,2005-09-19,92.3,92.44,92.1,92.18,886100
TLT,2005-09-20,92.54,92.8,91.88,92.29,1848800
TLT,2005-09-21,93.4,93.41,93.13,93.28,993000
TLT,2005-09-22,93.31,93.45,93.13,93.37,761700
TLT,2005-09-23,92.61,93.1,92.61,93.05,656800
TLT,2005-09-26,92.19,92.38,92.1,92.11,680900
TLT,2005-09-27,92.32,92.56,91.94,92.27,827800
TLT,2005-09-28,92.94,93.02,92.26,92.39,712800
TLT,2005-09-29,92.52,92.61,92.36,92.6,657100
TLT,2005-09-30,92.2,92.69,92.0,92.58,1391800
TLT,2005-10-03,92.2,92.69,92.0,92.58,0
TLT,2005-10-04,91.42,91.54,91.21,91.37,783200
TLT,2005-10-05,91.82,91.98,91.57,91.68,1215800
TLT,2005-10-06,91.47,91.74,91.44,91.7,340000
TLT,2005-10-07,91.84,91.95,90.96,91.09,1337800
TLT,2005-10-10,91.78,91.97,91.62,91.85,159700
TLT,2005-10-11,91.59,91.92,91.45,91.84,679100
TLT,2005-10-12,90.7,91.44,90.65,91.44,1105700
TLT,2005-10-13,90.37,90.5,90.08,90.25,1376600
TLT,2005-10-14,90.23,90.7,89.82,90.6,1042600
TLT,2005-10-17,90.21,90.61,90.12,90.42,1058200
TLT,2005-10-18,90.31,90.48,90.23,90.46,878200
TLT,2005-10-19,90.35,90.97,90.35,90.66,904800
TLT,2005-10-20,90.59,90.6,90.13,90.28,810300
TLT,2005-10-21,91.43,91.47,90.75,90.83,1252800
TLT,2005-10-24,90.72,91.41,90.49,91.32,939100
TLT,2005-10-25,89.94,91.05,89.93,90.82,638000
TLT,2005-10-26,89.28,89.6999,89.16,89.45,2898300
TLT,2005-10-27,89.6,89.79,89.3,89.6,1197400
TLT,2005-10-28,89.61,89.88,89.12,89.72,750400
TLT,2005-10-31,89.78,90.04,89.58,89.77,547700
TLT,2005-11-01,89.78,90.04,89.58,89.77,0
TLT,2005-11-02,88.86,89.3899,88.83,89.08,781100
TLT,2005-11-03,88.26,88.97,88.24,88.89,963100
TLT,2005-11-04,88.12,88.64,87.86,88.42,1888700
TLT,2005-11-07,88.42,88.57,88.35,88.5,1121600
TLT,2005-11-08,89.28,89.32,88.89,88.89,1396800
TLT,2005-11-09,88.36,88.93,88.36,88.78,1140600
TLT,2005-11-10,89.44,89.48,88.63,88.72,1695200
TLT,2005-11-11,89.49,89.7,89.44,89.6,193700
TLT,2005-11-14,88.82,89.4499,88.62,89.38,1230100
TLT,2005-11-15,89.4,89.65,88.75,88.75,839800
TLT,2005-11-16,90.34,90.44,89.75,89.8,1822300
TLT,2005-11-17,90.56,90.9,90.05,90.17,1003100
TLT,2005-11-18,90.14,90.45,90.06,90.36,734100
TLT,2005-11-21,90.41,90.66,90.33,90.34,503299
TLT,2005-11-22,90.53,90.67,90.35,90.37,1026899
TLT,2005-11-23,90.18,90.69,89.86,90.59,768300
TLT,2005-11-24,90.18,90.69,89.86,90.59,0
TLT,2005-11-25,90.18,90.69,89.86,90.59,0
TLT,2005-11-28,90.96,91.14,90.52,90.52,883400
TLT,2005-11-29,90.1,91.11,90.03,91.08,889200
