Date,Close,changePrevClose,changePrevClosePct,type,yldPct
2010-12-17,100.73,,,NAV,
2010-12-20,101.0,0.27,0.26804328,NAV,
2010-12-21,102.04,1.04,1.02970297,NAV,
2010-12-22,102.18,0.14,0.13720109,NAV,
2010-12-23,100.78,-1.4,-1.37013114,NAV,
2010-12-27,101.11,0.33,0.32744592,NAV,
2010-12-28,100.8,-0.31,-0.30659677,NAV,
2010-12-29,101.03,0.23,0.2281746,NAV,
2010-12-30,101.05,0.02,0.0197961,NAV,
2010-12-31,100.38,-0.67,-0.66303809,NAV,
2011-01-03,102.1,1.72,1.71348874,NAV,
2011-01-04,100.74,-1.36,-1.33202742,NAV,
2011-01-05,101.8,1.06,1.05221361,NAV,
2011-01-06,101.51,-0.29,-0.28487229,NAV,
2011-01-07,101.15,-0.36,-0.35464486,NAV,
2011-01-10,101.62,0.47,0.46465645,NAV,
2011-01-11,102.02,0.4,0.3936233,NAV,
2011-01-12,102.87,0.85,0.83316996,NAV,
2011-01-13,102.76,-0.11,-0.10693107,NAV,
2011-01-14,103.53,0.77,0.7493188,NAV,
2011-01-18,103.76,0.23,0.22215782,NAV,
2011-01-19,101.48,-2.28,-2.19737856,NAV,
2011-01-20,100.41,-1.07,-1.05439495,NAV,
2011-01-21,99.94,-0.47,-0.46808086,NAV,
2011-01-24,100.76,0.82,0.82049229,NAV,
2011-01-25,100.8,0.04,0.03969829,NAV,
2011-01-26,102.33,1.53,1.51785714,NAV,
2011-01-27,102.77,0.44,0.42998143,NAV,
2011-01-28,100.44,-2.33,-2.26719859,NAV,
2011-01-31,101.26,0.82,0.8164078,NAV,
2011-02-01,103.31,2.05,2.0244914,NAV,
2011-02-02,103.01,-0.3,-0.29038815,NAV,1.19
2011-02-03,103.31,0.3,0.29123386,NAV,1.19
2011-02-04,103.74,0.43,0.41622301,NAV,1.19
2011-02-07,104.78,1.04,1.00250626,NAV,1.19
2011-02-08,105.43,0.65,0.62034739,NAV,1.19
2011-02-09,104.98,-0.45,-0.42682348,NAV,1.19
2011-02-10,105.49,0.51,0.48580682,NAV,1.19
2011-02-11,106.7,1.21,1.14702815,NAV,1.19
2011-02-14,107.21,0.51,0.47797563,NAV,1.19
2011-02-15,106.5,-0.71,-0.66225165,NAV,1.19
2011-02-16,107.57,1.07,1.00469483,NAV,1.19
2011-02-17,108.27,0.7,0.65073905,NAV,1.19
2011-02-18,108.28,0.01,0.00923616,NAV,1.19
2011-02-22,105.49,-2.79,-2.57665312,NAV,1.19
2011-02-23,103.79,-1.7,-1.61152715,NAV,1.19
2011-02-24,104.2,0.41,0.39502842,NAV,1.07
2011-02-25,106.45,2.25,2.15930902,NAV,1.07
2011-02-28,106.7,0.25,0.23485204,NAV,1.07
2011-03-01,104.73,-1.97,-1.84629803,NAV,1.07
2011-03-02,105.21,0.48,0.45832139,NAV,1.06
2011-03-03,107.44,2.23,2.11957038,NAV,1.06
2011-03-04,106.94,-0.5,-0.46537602,NAV,1.06
2011-03-07,105.38,-1.56,-1.45876192,NAV,1.06
2011-03-08,106.78,1.4,1.32852533,NAV,1.06
2011-03-09,106.35,-0.43,-0.40269713,NAV,1.06
2011-03-10,103.8,-2.55,-2.3977433,NAV,1.06
2011-03-11,104.35,0.55,0.52986512,NAV,1.06
2011-03-14,103.75,-0.6,-0.57498802,NAV,1.06
2011-03-15,102.98,-0.77,-0.74216867,NAV,1.06
2011-03-16,101.79,-1.19,-1.15556418,NAV,1.06
2011-03-17,102.3,0.51,0.50103153,NAV,1.06
2011-03-18,103.25,0.95,0.92864125,NAV,1.06
2011-03-21,105.54,2.29,2.21791767,NAV,1.06
2011-03-22,104.91,-0.63,-0.59693007,NAV,1.06
2011-03-23,105.12,0.21,0.20017157,NAV,1.06
2011-03-24,105.97,0.85,0.80859969,NAV,1.06
2011-03-25,106.82,0.85,0.8021138,NAV,1.06
2011-03-28,106.48,-0.34,-0.31829245,NAV,1.06
2011-03-29,107.48,1.0,0.9391435,NAV,1.06
2011-03-30,108.81,1.33,1.23743952,NAV,1.06
2011-03-31,109.26,0.45,0.41356492,NAV,1.06
2011-04-01,109.84,0.58,0.53084385,NAV,1.06
2011-04-04,110.1,0.26,0.23670793,NAV,1.07
2011-04-05,110.64,0.54,0.49046321,NAV,1.07
2011-04-06,110.67,0.03,0.02711496,NAV,1.07
2011-04-07,110.1,-0.57,-0.51504472,NAV,1.07
2011-04-08,109.12,-0.98,-0.8900999,NAV,1.07
2011-04-11,108.25,-0.87,-0.79728739,NAV,1.07
2011-04-12,106.89,-1.36,-1.25635103,NAV,1.07
